Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C102, C110, C118, C119, C120, C121, C122, C123, C124, C125, C127, C128, C129, C130, C131, C132, C149, C164, C174, C175, C176, C177, C2, C3, C4, C49, C5, C50, C51, C52, C57, C58, C59, C6, C60, C65, C66, C67, C68, C69, C7, C70, C71, C74, C86, C94",0201,47,100nF,
"C10, C21, C22, C27, C28, C30, C33, C41, C43, C9",0402,10,10uF,
"C11, C144, C145, C166, C169, C170, C171, C172, C173, C20, C23, C26, C29, C31, C32, C40, C42, C8",0603,18,47uF,
"C12, C126, C13, C133, C14, C15, C158, C159, C16, C167, C168, C17, C18, C19, C24, C25, C44, C45, C46, C48, C55, C63, C87, C92",0201,24,4.7uF,
"C134, C135, C47, C56, C93, C95",0201,6,10nF,
"C137, C138, C75, C76",0201,4,18pF,
"C140, C141, C142, C143",0201,4,1nF,
"C146, C147, C148, C161, C162, C163, C77, C78, C79, C80, C81, C82, C83, C84",0805,14,22uF,
"C150, C160, C165",0201,3,220nF,
C151,0201,1,1.8nF,
"C152, C153, C154, C157, C34, C35, C36, C37, C38",0805,9,100uF,
"C155, C156",CP_EIA-7343-31_Kemet-D,2,560uF,EEF-GX0D561R
"C178, C180, C182, C184",0201,4,4.7pF,
"C179, C181, C183, C185",0201,4,220pF,
"C186, C91",0603,2,1uF,
C39,1210,1,330uF,
"C53, C54, C61, C62",0201,4,470nF,
"C64, C72",0201,2,1uF,
"C73, C85, C88, C89, C90",0402,5,1uF,
D1,0603,1,LED3,
D10,0603,1,1V2 PG,
D11,0603,1,0V9 PG,
D12,0603,1,DONE,
D2,0603,1,LED2,
D3,0603,1,LED1,
D4,0603,1,LED0,
D5,0603,1,2V5 ON,
D6,0603,1,MCU Heartbeat,
D7,0603,1,0V85 PG,
D8,0603,1,3V3 PG,
D9,0603,1,1V8 PG,
"FB1, FB2, FB3, FB4",0201,4,BKP0603HS121,
"J1, J2",SAMTEC_LSHM-130-XX.X-XXX-DV-A-S-K-XX,2,LSHM-130-XX.X-XXX-DV-A-S-K-XX,
"L1, L4",IND_SRP6530A_BRN,2,220nH,PA5041.221HLT
"L2, L5",L_Bourns_SRP3012,2,560nH,SRP3012TA-R56M
L3,1210,1,1uH,SRP3212A-1R0M
L7,L_Taiyo-Yuden_MD-3030,1,300nH,MDMK3030TR30MM
Q10,SOT-23,1,IRLML6244,
"Q6, Q7",SOT-363_SC-70-6,2,FDG1024NZ,
"R1, R106, R108, R109, R110, R111, R129, R130, R131, R2, R41, R43, R58, R62, R68, R73, R78, R83, R87, R92, R96",0201,21,33R,
"R10, R11, R12, R14, R15, R32, R33, R34, R35, R52, R53, R54, R55, R6, R7, R9",0201,16,1K,
"R100, R101, R102, R105, R112, R113, R118, R119, R120, R121, R122, R124, R125, R127, R128, R40, R45, R48, R57, R61, R67, R70, R76, R82, R85, R91, R94, R98, R99",0201,29,4.7K,
R114,0201,1,2.4K,
"R123, R126, R135, R136, R146, R149, R150, R152, R153, R161, R4, R71, R72, R74",0201,14,0R,
"R13, R24, R25, R26, R27, R28, R29, R30, R31, R44, R46, R5, R8",0201,13,100R,
"R132, R138, R140, R142, R143, R144, R145, R151, R154, R155, R157, R16, R17, R18, R19, R20, R21, R22, R23, R37, R65",0201,21,10K,
R133,0201,1,20K,
R134,0201,1,47K,
"R137, R156",0603,2,2.2R,
R139,0201,1,14K,
R141,0201,1,8.06K,
"R147, R167",0201,2,24K,
"R148, R168",0201,2,81K,
"R3, R42",0201,2,240R,
R36,0201,1,100K,
"R38, R51",0201,2,3.3k,
R39,0201,1,5.1K,
"R47, R49",0201,2,499R,
R50,0201,1,10K,RC0402JR-0710KL
R56,1206,1,500uOhm,HCS1206FT1L00
R63,0201,1,33K,
R64,0201,1,56.2K,
R66,0201,1,26.1K,
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,RST,
"TP1, TP2, TP3, TP4",MountingHole_2.2mm_M2_Pad_Via,4,Mounting Hole,
"TP10, TP19, TP20, TP21, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP33, TP36, TP39, TP42, TP43, TP44, TP45, TP46, TP47, TP5, TP50, TP51, TP52, TP53, TP54, TP55, TP56, TP57, TP6, TP7, TP8, TP9",Test Point 0.5mm No Silk,35,Test Point,
TP11,Test Point 0.5mm No Silk,1,IO0,
TP12,Test Point 0.5mm No Silk,1,IO4,
TP13,Test Point 0.5mm No Silk,1,IO1,
TP14,Test Point 0.5mm No Silk,1,IO5,
TP15,Test Point 0.5mm No Silk,1,IO2,
TP16,Test Point 0.5mm No Silk,1,IO6,
TP17,Test Point 0.5mm No Silk,1,IO3,
TP18,Test Point 0.5mm No Silk,1,IO7,
"TP22, TP23",Test Point 0.5mm No Silk,2,TestPoint,
U1,BGA676,1,XCKU3P-FFVA676,
U10,SOT-89-3,1,L78L33_SOT89,
U11,SOT-23-8,1,INA236,
"U13, U15, U17, U19",INA700_AYWFR,4,INA700AYWFR,
U2,USON-20_2x4mm_P0.4mm,1,TXB0108DQSR,
U20,W-PDFN-8-1EP_6x5mm_P1.27mm_EP3x3mm,1,MT25QUxxxxxx1xW7,
U21,SOT-23-6,1,MAX6070BAUT12V+T,
U22,TS3USB,1,TS3USB221A,
U23,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,Si5338A-B-GMR,
"U24, U25",TQFN-4x5_MP8796B_MNP,2,MP8796,
U3,Oscillator_SMD_SiTime_SiT9121-6Pin_3.2x2.5mm,1,Si511J200,
U4,VSON-10-1EP_3x3mm_P0.5mm_EP1.65x2.4mm_ThermalVias,1,TPS74801AWDRC,
U5,BGA96C80P9X16_750X1350X120,1,MT40A512M16LY-075:E,
U7,USON-8_UX_2x3x0p6_WIN,1,W25Q16JVUXIQ TR,
U8,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U9,LT7200S,1,LT7200S,
"Y1, Y2",Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,2,12Mhz,
