Designator,Mid X,Mid Y,Rotation,Layer
C1,185.125,-86.055,90.0,top
C10,212.964411,-66.314411,225.0,bottom
C102,203.85,-59.05,270.0,top
C11,196.625,-67.2,90.0,bottom
C110,181.855,-60.125,180.0,top
C118,184.175,-66.825,270.0,bottom
C119,198.125,-78.025,0.0,bottom
C12,189.945,-80.975,180.0,bottom
C120,181.125,-59.18,90.0,bottom
C121,183.005,-68.485,180.0,top
C122,198.525,-79.475,0.0,bottom
C123,185.225,-68.1625,90.0,top
C124,177.655,-59.5,0.0,bottom
C125,185.8474,-69.675,0.0,bottom
C126,212.815,-73.85,180.0,bottom
C127,211.525,-73.85,180.0,bottom
C128,211.445,-79.85,180.0,bottom
C129,209.125,-73.605,90.0,bottom
C13,189.945,-76.975,180.0,bottom
C130,209.125,-80.2,270.0,bottom
C131,206.575,-77.25,0.0,bottom
C132,206.575,-76.55,0.0,bottom
C133,208.425,-73.6,90.0,bottom
C134,193.67,-76.975,0.0,bottom
C135,193.67,-77.675,0.0,bottom
C137,216.825,-75.57,270.0,bottom
C138,214.27,-78.65,180.0,bottom
C14,189.945,-68.975,180.0,bottom
C144,184.075,-62.975,0.0,top
C145,184.075,-64.374999,0.0,top
C146,216.225,-96.925,270.0,top
C147,218.125,-96.82675,270.0,bottom
C148,218.175,-96.925,270.0,top
C149,209.4125,-94.975,90.0,top
C15,187.975,-80.0,0.0,bottom
C150,209.475,-93.525,0.0,top
C151,211.275,-92.65,180.0,top
C152,202.975,-97.225,180.0,bottom
C153,197.275,-97.2125,0.0,bottom
C154,202.668499,-102.175,0.0,top
C155,204.7935,-100.6125,0.0,bottom
C156,195.475,-100.6125,180.0,bottom
C157,197.675001,-102.175,180.0,top
C158,211.28,-93.395,0.0,top
C159,209.825,-99.355,90.0,top
C16,192.28,-67.975,0.0,bottom
C160,215.125,-92.955,90.0,top
C161,216.225,-96.82675,270.0,bottom
C162,183.325,-101.475,180.0,top
C163,183.325,-99.575,180.0,top
C164,190.9185,-100.255001,270.0,top
C165,190.525,-101.875,180.0,top
C166,181.225,-56.41,90.0,top
C167,188.925,-101.875,180.0,top
C168,190.525,-95.975,270.0,top
C169,182.625,-56.4,90.0,top
C17,191.955,-75.975,0.0,bottom
C170,200.575,-56.4,90.0,top
C171,201.974999,-56.4,90.0,top
C172,201.654999,-61.55,270.0,top
C173,200.275,-61.55,270.0,top
C174,187.675,-63.425,270.0,top
C175,188.425,-54.675,90.0,top
C176,194.725,-54.675,90.0,top
C177,193.9,-63.425,270.0,top
C178,189.7,-63.425,270.0,top
C179,188.3,-63.425,90.0,top
C18,192.305,-79.975,0.0,bottom
C180,190.525,-54.675,90.0,top
C181,189.125,-54.675,270.0,top
C182,192.625,-54.675,90.0,top
C183,194.025,-54.675,270.0,top
C184,191.8,-63.425,270.0,top
C185,193.199999,-63.425,90.0,top
C186,220.425,-90.774999,0.0,top
C19,192.305,-71.975,0.0,bottom
C2,187.475,-87.425,180.0,bottom
C20,196.625,-90.975,0.0,bottom
C21,196.625,-88.455,270.0,bottom
C22,199.145001,-66.975,0.0,bottom
C23,201.85,-65.975,0.0,bottom
C24,192.28,-83.975,0.0,bottom
C25,192.305001,-73.975,0.0,bottom
C26,198.85,-86.975,0.0,bottom
C27,200.144999,-90.1,0.0,bottom
