Designator,Mid X,Mid Y,Rotation,Layer
C1,163.1,-111.85,90.0,bottom
C10,161.45,-111.6,90.0,bottom
C100,159.37,-95.425,0.0,top
C101,150.85,-96.87,90.0,top
C102,159.75,-108.255,90.0,top
C103,150.045866,-96.875,90.0,top
C104,147.27,-96.125,180.0,bottom
C105,159.05,-108.255,90.0,top
C106,149.35,-96.875,90.0,top
C107,164.3,-108.205,90.0,top
C108,165.0,-108.205,90.0,top
C109,155.0,-105.8,180.0,top
C11,163.0,-116.3475,270.0,bottom
C110,157.475,-98.0,90.0,top
C111,156.2,-95.525001,180.0,top
C112,151.7,-107.675,0.0,top
C113,145.8008,-96.175,180.0,top
C114,147.95,-105.79,90.0,top
C115,147.95,-102.81,270.0,top
C116,148.21,-100.11,0.0,top
C117,151.55,-102.23,90.0,top
C118,148.2,-100.1,180.0,bottom
C119,141.145,-103.85,0.0,bottom
C12,171.75,-116.0,0.0,bottom
C120,141.145,-104.6,0.0,bottom
C121,140.945,-102.2,0.0,bottom
C122,145.775,-105.72,90.0,bottom
C123,145.9,-101.28,270.0,bottom
C124,146.88504,-104.862877,270.0,bottom
C125,146.25,-103.1,0.0,bottom
C126,140.295,-101.35,0.0,bottom
C127,135.02,-96.85,0.0,bottom
C128,135.02,-96.15,0.0,bottom
C129,130.8,-111.775,270.0,top
C13,175.885,-114.525,270.0,top
C130,134.4,-107.32,90.0,bottom
C131,132.055,-106.8,180.0,bottom
C132,135.015,-98.35,0.0,bottom
C133,135.015,-97.65,0.0,bottom
C134,135.015,-99.85,0.0,bottom
C135,135.015,-99.15,0.0,bottom
C136,135.015,-101.35,0.0,bottom
C137,135.015,-100.65,0.0,bottom
C138,145.7958,-96.875,180.0,top
C14,175.885,-111.525,90.0,top
C140,143.9,-103.4,180.0,bottom
C143,134.58,-87.1,180.0,bottom
C144,134.58,-85.7,180.0,bottom
C145,143.4,-83.5,0.0,bottom
C146,143.4,-84.2,180.0,bottom
C147,134.58,-86.4,0.0,bottom
C148,133.575,-78.2,180.0,top
C149,163.146374,-106.376899,270.0,bottom
C15,171.525001,-107.28,0.0,top
C150,164.644974,-102.15,180.0,bottom
C151,155.829974,-105.356899,0.0,bottom
C152,157.029974,-101.856899,0.0,bottom
C153,144.4,-116.88,90.0,bottom
C154,138.830001,-106.683643,270.0,top
C155,136.905001,-105.433642,270.0,top
C156,137.225001,-108.453642,180.0,top
C16,171.525,-108.775,0.0,top
C17,171.070001,-106.1,0.0,top
C18,168.4,-102.9,180.0,top
C19,168.4,-100.889999,180.0,top
C2,172.335,-115.7,0.0,top
C20,171.7,-102.6,0.0,top
C21,166.05,-109.9,270.0,top
C22,155.35,-117.925,270.0,top
C23,155.35,-114.925,90.0,top
C24,153.65,-115.845,90.0,bottom
C25,154.65,-109.3,0.0,top
C26,152.75,-111.4,180.0,top
C27,155.350001,-111.937499,270.0,top
C28,150.85,-115.845,90.0,bottom
C29,169.599999,-76.0,0.0,bottom
C3,168.335,-116.0,270.0,top
C30,169.599999,-76.75,0.0,bottom
C31,169.599999,-75.25,0.0,bottom
C32,169.599999,-80.6,0.0,bottom
C33,169.04,-86.4,0.0,bottom
C34,168.255,-87.38,0.0,bottom
C35,169.6,-79.8,0.0,bottom
C36,169.599999,-79.1,0.0,bottom
C37,163.150001,-73.8,270.0,bottom
C38,163.22,-77.75,180.0,bottom
C39,166.47,-80.625,180.0,bottom
C4,170.935,-115.7,180.0,top
C40,168.800001,-73.8,270.0,bottom
C41,163.3,-80.2,90.0,bottom
C42,162.09,-82.24,270.0,bottom
C43,144.4,-114.52,90.0,bottom
C44,166.63,-81.900001,0.0,bottom
C45,173.955001,-82.525,180.0,top
C46,173.42,-77.75,0.0,top
C47,165.32,-84.24,180.0,bottom
C48,165.32,-84.96,180.0,bottom
C49,163.6,-96.575,90.0,bottom
C5,166.97,-109.65,0.0,bottom
C50,157.2,-78.3,90.0,bottom
C51,166.975,-92.3,270.0,bottom
C52,164.799999,-96.855,90.0,bottom
C53,166.645,-94.375,0.0,bottom
C54,162.17,-95.475,180.0,bottom
C55,162.17,-96.175,180.0,bottom
C56,166.645001,-93.575,0.0,bottom
C57,162.17,-92.675,180.0,bottom
C58,165.5,-96.855001,90.0,bottom
C59,166.555,-96.075,0.0,bottom
C6,170.18,-109.65,180.0,bottom
C60,162.17,-91.974999,180.0,bottom
C61,166.555,-96.775,0.0,bottom
C62,162.17,-94.774999,180.0,bottom
C63,162.17,-93.375,180.0,bottom
C64,162.569999,-99.175,0.0,top
C65,162.67,-88.175,90.0,top
C66,158.35,-87.65,270.0,top
C67,163.220001,-75.250001,180.0,bottom
C68,158.03,-74.83,0.0,bottom
C69,156.075,-74.63,270.0,bottom
C7,166.975,-107.69,0.0,bottom
C70,156.774999,-74.63,270.0,bottom
C71,159.6,-73.245,270.0,bottom
C72,158.03,-75.529999,0.0,bottom
C73,158.544999,-77.100001,0.0,bottom
C74,151.8,-73.18,90.0,top
C75,154.2,-77.1,180.0,bottom
C76,156.500001,-78.300002,90.0,bottom
C77,155.77,-84.5,0.0,top
C78,158.9,-81.875,270.0,top
C79,151.115001,-79.58,90.0,top
C8,169.274999,-112.325,180.0,bottom
C80,152.315,-82.6,0.0,top
C81,147.825,-84.15,0.0,top
C82,144.84,-83.0,180.0,top
C83,145.614999,-80.5,180.0,top
C84,148.1,-85.9,180.0,bottom
C85,148.77,-87.125,180.0,bottom
C86,152.27,-87.125,180.0,bottom
C87,153.7,-88.925,270.0,bottom
C88,153.7,-90.555,90.0,bottom
C89,153.7,-92.055,90.0,bottom
C9,169.245,-104.35,180.0,bottom
C90,150.795,-94.125,180.0,bottom
C91,147.005,-94.125,0.0,bottom
