Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C100, C101, C102, C111, C112, C113, C114, C115, C116, C117, C118, C120, C121, C123, C124, C125, C126, C127, C128, C129, C130, C131, C132, C133, C134, C135, C136, C138, C139, C141, C142, C143, C144, C145, C146, C147, C148, C149, C150, C151, C152, C153, C154, C157, C158, C2, C30, C31, C32, C33, C34, C35, C36, C38, C62, C64, C69, C84, C93, C99",0201,61,100nF,
"C10, C11, C14, C16, C17, C25, C27, C3, C6, C7, C79, C80, C82, C83, C88, C89",0603,16,47uF,
"C103, C104, C105, C106",0201,4,4.7pF,
"C107, C108, C109, C110",0201,4,220pF,
"C119, C122, C137, C140, C54, C55, C85, C86",0201,8,4.7uF,
"C12, C13, C15, C18, C26, C28, C4, C5, C8, C9",0402,10,10uF,
"C155, C156, C29, C37",0201,4,1uF,
"C19, C20, C21, C22, C23, C56, C57, C58, C59",0805,9,100uF,
C24,1210,1,330uF,
"C39, C40",0201,2,18pF,
"C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C70, C71, C72, C73, C74, C75, C76, C77, C94, C95, C96",0805,21,22uF,
"C51, C52, C65, C66, C67, C68",0402,6,1uF,
C53,0402,1,100nF,
"C60, C61",CP_EIA-7343-31_Kemet-D,2,560uF,EEF-GX0D561R
C63,0201,1,300pF,
"C81, C87, C92, C97",0201,4,1nF,
"C90, C91",0603,2,1uF,
C98,0201,1,100pF,
D1,0603,1,LED0,
D10,0603,1,3V3 PG,
D11,0603,1,DONE,
D2,0603,1,LED1,
D3,0603,1,LED2,
D4,0603,1,LED3,
D5,0603,1,MCU Heartbeat,
D6,0603,1,0V85 PG,
D7,0603,1,0V9 PG,
D8,0603,1,1V2 PG,
D9,0603,1,1V8 PG,
"FB1, FB2, FB3",0201,3,BKP0603HS121,
"J1, J2",SAMTEC_LSHM-130-XX.X-XXX-DV-A-S-K-XX,2,LSHM-130-XX.X-XXX-DV-A-S-K-XX,
L1,IND_SRP6530A_BRN,1,100nH,PGL6312.101HLT
"L2, L5",1210,2,1uH,SRP3212A-1R0M
"L3, L4",L_Bourns_SRP3012,2,560nH,SRP3012TA-R56M
M1,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,Fan_4pin,
"Q1, Q2",SOT-363_SC-70-6,2,FDG1024NZ,
Q3,SOT-23,1,IRLML6244,
"R1, R2, R37, R40, R45, R47, R50, R52, R59, R66, R69, R80, R81, R82, R83",0201,15,33R,
"R10, R102, R103, R11, R12, R13, R14, R38, R49, R54, R64, R68, R7, R70, R71, R72, R73, R74, R8, R9",0201,20,10K,
"R100, R101, R24, R25, R26, R27, R30, R31, R32, R33, R88, R89, R90, R92, R95, R97",0201,16,1K,
"R15, R3, R4",0201,3,240R,
"R16, R17, R18, R19, R20, R21, R22, R23, R6",0201,9,100R,
"R28, R5",0201,2,3.3K,RC0402JR-0710KL
"R29, R36, R39, R46, R51, R60, R61, R62, R63, R65, R75, R76, R77, R78, R79",0201,15,3.3K,
R34,0603,1,2.2R,
R35,1206,1,500uOhm,HCS1206FT1L00
R41,0201,1,24K,
R42,0201,1,24.9K,
R43,0201,1,3.48k,
"R44, R58",0201,2,14K,
R48,0201,1,56.2K,
R53,0201,1,26.1K,
"R55, R56, R94, R99",0201,4,0R,
R57,0201,1,43K,
R67,0201,1,100K,
"R84, R85, R87, R91, R93, R96, R98",0201,7,4.7K,
R86,0201,1,2.4K,
"SW1, SW2, SW3",SW_Push_SPST_NO_Alps_SKRK,3,RST,
"TP1, TP2, TP3, TP4",MountingHole_2.2mm_M2_Pad_Via,4,Mounting Hole,
TP10,Test Point 0.5mm No Silk,1,IO5,
TP11,Test Point 0.5mm No Silk,1,IO2,
TP12,Test Point 0.5mm No Silk,1,IO6,
TP13,Test Point 0.5mm No Silk,1,IO3,
TP14,Test Point 0.5mm No Silk,1,IO7,
"TP15, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP5, TP6",Test Point 0.5mm No Silk,18,Test Point,
"TP16, TP17",Test Point 0.5mm No Silk,2,TestPoint,
TP7,Test Point 0.5mm No Silk,1,IO0,
TP8,Test Point 0.5mm No Silk,1,IO4,
TP9,Test Point 0.5mm No Silk,1,IO1,
U1,BGA676,1,XCKU3P-FFVA676,
U10,SOT-89-3,1,L78L33_SOT89,
"U11, U7, U9",INA700_AYWFR,3,INA700AYWFR,
U12,W-PDFN-8-1EP_6x5mm_P1.27mm_EP3x3mm,1,MT25QUxxxxxx1xW7,
U13,SOT-23-6,1,MAX6070BAUT12V+T,
"U14, U15, U16, U17",BGA49C50P7X7_400X400X80,4,W959D6NFKX4I,
U18,USON-20_2x4mm_P0.4mm,1,TXB0108DQSR,
U19,Texas_R-PUQFN-N12,1,TXB0104RUT,
U2,Oscillator_SMD_SiTime_SiT9121-6Pin_3.2x2.5mm,1,Si511J200,
U3,USON-8_UX_2x3x0p6_WIN,1,W25Q16JVUXIQ TR,
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U5,PG-IQFN-36-2,1,TDA38840AUMA1,
U6,SOT-23-8,1,INA236,
U8,LT7200S,1,LT7200S,
Y1,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,12Mhz,
