Designator,Mid X,Mid Y,Rotation,Layer
C1,219.6,-100.435,90.0,bottom
C10,205.625,-80.75,270.0,bottom
C100,192.325,-63.98,270.0,top
C101,187.425,-63.98,270.0,top
C102,187.3,-54.375,90.0,top
C103,190.1,-54.375,90.0,top
C104,190.225,-63.98,270.0,top
C105,189.525,-63.98,270.0,top
C106,189.4,-54.375,90.0,top
C107,191.5,-54.375,270.0,top
C108,191.625,-63.98,90.0,top
C109,188.125,-63.98,90.0,top
C11,192.4,-77.975,180.0,bottom
C110,188.0,-54.375,270.0,top
C111,200.625,-76.475,90.0,bottom
C112,211.325,-96.94,180.0,bottom
C113,186.750001,-68.430001,0.0,bottom
C114,198.625,-76.63,90.0,bottom
C115,186.75,-70.329999,0.0,bottom
C116,208.17,-101.45,180.0,bottom
C117,213.873977,-93.888927,225.0,bottom
C118,214.368952,-93.393952,225.0,bottom
C119,216.4,-92.5,45.0,bottom
C12,188.625,-78.35,90.0,bottom
C120,207.700001,-93.95,270.0,bottom
C121,207.000001,-93.95,270.0,bottom
C122,208.925001,-94.78,90.0,bottom
C123,218.839016,-95.779361,45.0,top
C124,215.075,-96.625,315.0,bottom
C125,217.3,-96.075,225.0,bottom
C126,207.245,-98.825,180.0,top
C127,211.05,-97.725,270.0,top
C128,209.625001,-94.78,90.0,bottom
C129,219.408237,-93.654505,315.0,top
C13,192.625,-91.455,270.0,bottom
C130,215.905025,-92.994975,45.0,bottom
C131,214.580025,-96.130025,315.0,bottom
C132,206.075,-95.805,90.0,bottom
C133,207.925,-97.995,270.0,bottom
C134,208.625,-97.995,270.0,bottom
C135,201.0,-94.15,270.0,bottom
C136,201.7,-94.15,270.0,bottom
C137,202.45,-98.004999,270.0,bottom
C138,196.795,-98.825,0.0,top
C139,198.7,-97.7,270.0,top
C14,199.4,-89.125,180.0,bottom
C140,196.675,-94.78,90.0,bottom
C141,199.85,-95.805,90.0,bottom
C142,201.75,-98.004999,270.0,bottom
C143,203.650001,-94.78,90.0,bottom
C144,195.475,-97.995,270.0,bottom
C145,195.325,-94.18,270.0,bottom
C146,194.625,-94.18,270.0,bottom
C147,203.07,-98.825,0.0,top
C148,204.975,-97.7,270.0,top
C149,202.95,-94.78,90.0,bottom
C15,188.145,-88.975,0.0,bottom
C150,193.75,-95.805,90.0,bottom
C151,197.375,-94.78,90.0,bottom
C152,196.175,-97.995,270.0,bottom
C153,219.6,-78.355,90.0,top
C154,220.725,-75.8,180.0,top
C155,222.925,-75.1,180.0,top
C156,220.975,-83.95,270.0,top
C157,223.57,-82.95,0.0,top
C158,219.555,-82.8,180.0,top
C16,193.225,-81.575,180.0,bottom
C17,201.625,-82.75,270.0,bottom
C18,198.145,-72.975,0.0,bottom
C19,195.675001,-78.975,0.0,bottom
C2,202.65,-86.75,90.0,bottom
C20,195.675001,-76.975,0.0,bottom
C21,205.699999,-68.05,180.0,bottom
C22,199.625,-80.975,270.0,bottom
C23,203.074999,-74.975,180.0,bottom
C24,206.3,-65.475,180.0,bottom
C25,203.625,-79.2,90.0,bottom
C26,201.625,-79.495,90.0,bottom
C27,195.85,-80.975,0.0,bottom
C28,198.2,-81.455,270.0,bottom
C29,189.575,-99.475,0.0,bottom
C3,195.625,-73.2,90.0,bottom
C30,185.03,-98.275,180.0,bottom
C31,189.575,-97.475,0.0,bottom
C32,189.58,-100.85,0.0,bottom
C33,189.825,-94.78,90.0,bottom
C34,185.03,-97.575,180.0,bottom
C35,186.225,-95.45,270.0,bottom
C36,186.225,-99.9,90.0,bottom
