Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C100, C104, C105, C106, C107, C117, C120, C121, C124, C125, C126, C129, C13, C130, C131, C132, C133, C134, C136, C137, C138, C139, C140, C145, C149, C2, C21, C28, C3, C34, C35, C36, C37, C38, C39, C4, C41, C42, C43, C44, C45, C46, C48, C51, C52, C54, C55, C56, C57, C58, C59, C6, C60, C61, C64, C65, C66, C67, C71, C72, C73, C74, C75, C76, C77, C79, C84, C85, C86, C87, C88, C89, C90, C91, C93, C97, C98, C99",0201,79,100nF,
"C10, C11, C12, C22, C23, C9",0805,6,22uF,
"C101, C128, C143, C148, C25, C32, C33, C40, C62, C63, C70, C78, C82, C96",0201,14,1uF,
"C102, C108, C111, C112, C113, C114, C115, C116, C122",0201,9,220nF,
"C103, C123, C127, C135, C141, C144, C146, C16, C17, C18, C19, C20, C24, C26, C27, C31, C47, C5, C53, C83, C92, C94",0603,22,10uF,
"C109, C110, C49, C50, C68, C69, C80, C81",0201,8,18pF,
"C118, C119, C142, C147, C7, C8, C95",0201,7,10nF,
"C14, C15",0201,2,330pF,
"C29, C30",0805,2,100uF,
D2,0603,1,3V3 ON,
D3,0603,1,1V8 ON,
"D5, D6",0603,2,RX,
D7,0603,1,FTDI,
D8,0603,1,MCU Heartbeat,
F1,0603,1,1A PTC Fuse,
"FB1, FB2",0603,2,600R/0.5A,
J1,GCT_USB4056-03-A_REVA2,1,USB_C_Receptacle,
"J2, J3",SAMTEC_LSHM-130-XX.X-XXX-DV-A-S-K-XX,2,LSHM-130-XX.X-XXX-DV-A-S-K-XX,
J4,TE_2-1734839-2_1x22-1MP_P0.5mm_Horizontal,1,Cam FPC,
J5,HDMI_A_Molex_208658-1001_Horizontal,1,HDMI_A,
"L1, L2, L3",0603,3,742792602,
"Q2, Q4",SOT-23,2,IRLML6244,
"R1, R100, R101, R102, R103, R104, R105, R106, R107, R108, R109, R110, R111, R112, R116, R117, R118, R119, R12, R120, R121, R122, R123, R124, R129, R13, R131, R132, R133, R139, R2, R20, R21, R22, R23, R40, R50, R51, R52, R54, R6, R77, R78, R79, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93, R94, R95, R96, R99",0201,62,3.3K,
R10,0201,1,196K,
"R11, R18, R63",0201,3,2.4K,
"R113, R114, R115, R125, R126, R127, R128, R134, R137, R138, R140, R144, R145, R146, R147, R3, R62, R64, R65, R66, R67, R69, R7, R70, R71, R73, R74, R75, R76, R8, R9",0201,31,33R,
R130,0201,1,4.02K,
"R135, R148, R149, R150, R151, R152, R153, R154, R155, R156, R157, R158, R159",0201,13,0R,
"R136, R142, R25, R30, R33, R38, R41, R42, R43, R49, R59, R60",0201,12,10K,
"R14, R15",0201,2,33K,
R141,0201,1,5.1K,
"R143, R61",0201,2,100K,
"R16, R17, R26, R31, R35, R4, R45, R46, R47, R5, R53, R57, R97, R98",0201,14,1K,
R19,0201,1,8.06,
R27,0201,1,23.2K,
R28,0201,1,20K,
R34,0201,1,8.06K,
R36,0201,1,27K,
R39,0201,1,12K,
R44,0201,1,2.2K,
R48,0201,1,4.7K,
R55,0201,1,1.6K,
R56,0201,1,3.3K,RC0402JR-0710KL
R58,0201,1,3.74K,
R68,0201,1,9.53K,
R72,0201,1,1M,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,RST,
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP3, TP4, TP5",Test Point 0.5mm No Silk,22,TestPoint,
"TP6, TP7, TP8, TP9",MountingHole_2.2mm_M2_Pad_Via,4,MH,
U1,TPS25730DREFR,1,TPS25730D,
U10,SOT-23-6,1,93LCxxBxxOT,
U11,74AVC2T245GU,1,74AVC2T245GU,
U12,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,1,FT600Q,
U13,USON-8_UX_2x3x0p6_WIN,1,W25Q16JVUXIQ TR,
U14,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
"U15, U21",VSON-10-1EP_3x3mm_P0.5mm_EP1.65x2.4mm,2,TPS74801AWDRC,
U16,QFN-64-1EP_9x9mm_P0.5mm_EP6x6mm,1,TUSB8041,
U17,WQFN_142RNQT_TEX,1,TUSB1142,
U18,RHR28_TEX-L,1,SN65DPHY440SS,
U19,TQFP-100-1EP_14x14mm_P0.5mm_EP5x5mm,1,Sii1136,
U2,INA700_AYWFR,1,INA700AYWFR,
"U20, U22, U5, U7",USON-10_2.5x1.0mm_P0.5mm,4,TPD4E02B04DQA,
U23,SOT-89-3,1,L78L05_SOT89,
"U3, U6",RDN0011A-MFG,2,TPSM33625RDNR,
U4,Texas_DRT-3,1,TPD2EUSB30A,
U8,74AVC4T774BQX,1,74AVC4T774BQX,
U9,QFN-64-1EP_9x9mm_P0.5mm_EP4.35x4.35mm,1,FT2232HQ,
"Y1, Y3",Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,2,12Mhz,
Y2,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,30Mhz,
Y4,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,1,24Mhz,
