Designator,Mid X,Mid Y,Rotation,Layer
C1,154.905,-94.425,180.0,bottom
C10,158.475001,-106.025,0.0,bottom
C100,164.0,-90.7,90.0,bottom
C101,159.375,-93.3,180.0,top
C102,164.45,-100.1,90.0,top
C103,170.3,-101.275,90.0,top
C104,168.35,-105.3,0.0,bottom
C105,168.375,-103.3,0.0,bottom
C106,162.48,-101.15,180.0,top
C107,161.65,-104.955175,90.0,top
C108,163.75,-100.1,90.0,top
C109,169.525,-96.48,90.0,top
C11,172.9734,-111.275,180.0,bottom
C110,166.925,-93.3,180.0,top
C111,165.85,-100.1,90.0,top
C112,165.15,-100.1,90.0,top
C113,164.528751,-107.988872,45.0,top
C114,165.023726,-108.483847,45.0,top
C115,168.919975,-107.861592,135.0,top
C116,168.425,-108.356567,135.0,top
C117,146.925567,-79.201,0.0,bottom
C118,138.155567,-82.426,0.0,bottom
C119,146.925567,-80.601,180.0,bottom
C12,172.9734,-113.1,180.0,bottom
C120,146.925567,-79.901,0.0,bottom
C121,138.155567,-83.126,180.0,bottom
C122,138.475,-78.975,180.0,top
C123,134.675,-78.325,180.0,top
C124,143.6875,-104.2375,270.0,bottom
C125,140.8675,-103.8925,0.0,bottom
C126,140.8675,-104.59,0.0,bottom
C127,141.36,-107.13,0.0,bottom
C128,128.73,-95.55,0.0,top
C129,149.9925,-95.0875,0.0,bottom
C13,172.7,-107.925,0.0,bottom
C130,140.25,-95.1,180.0,bottom
C131,140.2,-85.5,90.0,top
C132,143.7,-85.5,90.0,top
C133,148.25,-85.505,90.0,top
C134,141.805,-95.1,180.0,bottom
C135,141.025,-96.18,180.0,bottom
C136,149.9925,-94.15,0.0,bottom
C137,140.25,-94.4,180.0,bottom
C138,145.2,-85.53,90.0,top
C139,151.1,-85.5,90.0,top
C14,156.99,-116.9,180.0,bottom
C140,147.85,-86.98,270.0,bottom
C141,149.2,-84.8,90.0,bottom
C142,131.34,-111.635,180.0,top
C143,135.76,-109.88,270.0,bottom
C144,139.15,-107.89,90.0,bottom
C145,138.759999,-105.582499,270.0,bottom
C146,138.560001,-104.185,180.0,bottom
C147,135.295001,-104.185,90.0,bottom
C148,144.323726,-116.18,90.0,bottom
C149,144.323726,-113.82,90.0,bottom
C15,155.595,-116.9,0.0,bottom
C16,152.075,-118.125,270.0,bottom
C17,150.3,-116.45,270.0,bottom
C18,150.3,-113.275,90.0,bottom
C19,158.65,-107.75,0.0,bottom
C2,154.905,-95.125,180.0,bottom
C20,158.65,-109.0,0.0,bottom
C21,160.55,-109.35,270.0,top
C22,158.15,-102.825,180.0,top
C23,158.15,-104.65,180.0,top
C24,158.35,-103.2,0.0,bottom
C25,155.96,-111.1,180.0,top
C26,153.1,-107.75,0.0,bottom
C27,153.1,-109.0,0.0,bottom
C28,155.025,-109.35,270.0,top
C29,153.800001,-104.525,180.0,top
C3,160.3,-81.83,90.0,top
C30,153.800001,-102.7,180.0,top
C31,153.425,-105.65,0.0,bottom
C32,151.1,-111.175,0.0,top
C33,169.53,-77.7,180.0,top
C34,169.53,-77.0,180.0,top
C35,161.79,-78.5,0.0,top
C36,170.0,-73.2,270.0,top
C37,169.53,-78.5,180.0,top
C38,173.33,-84.1,0.0,top
C39,173.33,-84.8,0.0,top
C4,159.6,-81.83,90.0,top
C40,169.53,-75.175,180.0,top
C41,169.53,-74.475,180.0,top
C42,160.4,-76.0,0.0,bottom
C43,163.45,-82.6,270.0,bottom
C44,165.655,-71.65,180.0,top
C45,168.5,-82.57,270.0,bottom
C46,163.3,-75.1,0.0,top
C47,163.875,-76.75,0.0,top
C48,163.3,-74.35,180.0,top
C49,175.055,-81.0,0.0,bottom
C5,160.0,-115.65,270.0,bottom
C50,171.825,-78.345,270.0,bottom
C51,165.48,-87.275,0.0,bottom
C52,165.505,-88.725,0.0,bottom
C53,157.975,-91.5,90.0,bottom
C54,164.57,-97.37,180.0,bottom
C55,157.575,-94.675,0.0,top
C56,157.57,-95.37,0.0,top
C57,157.525,-96.575,0.0,top
C58,160.975,-99.625,180.0,top
C59,164.57,-98.17,180.0,bottom
C6,154.18,-117.15,0.0,bottom
C60,159.375,-94.725,180.0,top
C61,164.575,-94.975,180.0,bottom
C62,159.375,-94.025,180.0,top
C63,157.505,-98.875,0.0,top
C64,156.63,-101.675,180.0,bottom
C65,157.505,-98.17,0.0,top
C66,154.905,-96.97,0.0,bottom
C67,156.85,-92.27,90.0,bottom
C68,151.7,-102.455,90.0,bottom
C69,153.53,-99.325,0.0,bottom
C7,164.8,-112.98,90.0,bottom
C70,155.125,-73.95,270.0,bottom
C71,156.075,-78.075,90.0,bottom
C72,157.15,-73.95,270.0,bottom
C73,158.025,-73.22,270.0,bottom
C74,155.925,-73.95,270.0,bottom
