Designator,Mid X,Mid Y,Rotation,Layer
J1,177.755,-126.155,90.0,bottom
J12,126.49,-31.845,270.0,bottom
J13,112.999998,-66.09,180.0,bottom
J14,112.999998,-85.015,180.0,bottom
J16,112.990002,-46.995,0.0,bottom
J19,189.385,-126.155,270.0,bottom
J2,139.0,-79.0,270.0,top
J21,166.165,-126.155,90.0,bottom
J22,198.592001,-126.155,270.0,bottom
J23,206.705,-56.45,0.0,bottom
J24,206.705,-98.65,180.0,bottom
J3,181.0,-79.0,270.0,top
J4,139.0,-79.0,270.0,bottom
J5,181.0,-79.0,270.0,bottom
J7,190.325,-31.845,270.0,top
J8,140.7,-126.155,90.0,bottom
J9,150.98,-31.845,270.0,top
TP10,132.85,-75.65,0.0,top
TP11,132.85,-74.150001,0.0,top
TP12,132.85,-72.650001,0.0,top
TP13,132.85,-71.15,180.0,top
TP14,132.85,-69.65,180.0,top
TP5,132.85,-83.150001,0.0,top
TP6_2,132.85,-81.650001,0.0,top
TP7_2,132.85,-80.150001,0.0,top
TP8_2,132.85,-78.650001,0.0,top
TP9_2,132.85,-77.150002,0.0,top
