#Top: example_top   Floorplan: synth_1   Part: xcku3p-ffva676-2-i
#Generated by: johnh   on: Thu Jul 25 14:09:49 2024
#Build: Vivado v2022.2   by: xbuild   on: Fri Oct 14 05:00:03 MDT 2022
#Package Version: PRODUCTION 1.1 3/9/2017
#Package Pin Delay Version: PRODUCTION 1.0 8/23/2016

#The following package pin(s) are connected to master PCIE reset pins, and #    should be tied off to a 1.8V standard - 
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage,ODT
67,H18,IOB_X0Y206,IO_L24N_T3U_N11_67,89.967,90.871,,interface_ddr4_0,c0_ddr4_dq[15],INOUT,,,POD12_DCI,,FAST,RDRV_40_40,RDRV_240,,EQ_LEVEL2,,,,FP_VCCO_50,,,RTT_40
67,H17,IOB_X0Y205,IO_L24P_T3U_N10_67,93.482,94.422,,interface_ddr4_0,c0_ddr4_dq[14],INOUT,,,POD12_DCI,,FAST,RDRV_40_40,RDRV_240,,EQ_LEVEL2,,,,FP_VCCO_50,,,RTT_40
67,E18,IOB_X0Y204,IO_L23N_T3U_N9_67,92.950,93.884,,interface_ddr4_0,c0_ddr4_dq[13],INOUT,,,POD12_DCI,,FAST,RDRV_40_40,RDRV_240,,EQ_LEVEL2,,,,FP_VCCO_50,,,RTT_40
67,E17,IOB_X0Y203,IO_L23P_T3U_N8_67,95.168,96.125,,interface_ddr4_0,c0_ddr4_dq[12],INOUT,,,POD12_DCI,,FAST,RDRV_40_40,RDRV_240,,EQ_LEVEL2,,,,FP_VCCO_50,,,RTT_40
67,F19,IOB_X0Y200,IO_L21N_T3L_N5_AD8N_67,90.034,90.939,,interface_ddr4_0,c0_ddr4_dq[11],INOUT,,,POD12_DCI,,FAST,RDRV_40_40,RDRV_240,,EQ_LEVEL2,,,,FP_VCCO_50,,,RTT_40
67,F18,IOB_X0Y199,IO_L21P_T3L_N4_AD8P_67,90.928,91.842,,interface_ddr4_0,c0_ddr4_dq[10],INOUT,,,POD12_DCI,,FAST,RDRV_40_40,RDRV_240,,EQ_LEVEL2,,,,FP_VCCO_50,,,RTT_40
67,F17,IOB_X0Y198,IO_L20N_T3L_N3_AD1N_67,114.505,115.656,,interface_ddr4_0,c0_ddr4_dq[9],INOUT,,,POD12_DCI,,FAST,RDRV_40_40,RDRV_240,,EQ_LEVEL2,,,,FP_VCCO_50,,,RTT_40
67,G17,IOB_X0Y197,IO_L20P_T3L_N2_AD1P_67,117.309,118.488,,interface_ddr4_0,c0_ddr4_dq[8],INOUT,,,POD12_DCI,,FAST,RDRV_40_40,RDRV_240,,EQ_LEVEL2,,,,FP_VCCO_50,,,RTT_40
67,B26,IOB_X0Y167,IO_L6N_T0U_N11_AD6N_67,117.065,118.242,,interface_ddr4_0,c0_ddr4_dq[7],INOUT,,,POD12_DCI,,FAST,RDRV_40_40,RDRV_240,,EQ_LEVEL2,,,,FP_VCCO_50,,,RTT_40
67,C26,IOB_X0Y166,IO_L6P_T0U_N10_AD6P_67,116.957,118.133,,interface_ddr4_0,c0_ddr4_dq[6],INOUT,,,POD12_DCI,,FAST,RDRV_40_40,RDRV_240,,EQ_LEVEL2,,,,FP_VCCO_50,,,RTT_40
67,C24,IOB_X0Y165,IO_L5N_T0U_N9_AD14N_67,100.582,101.593,,interface_ddr4_0,c0_ddr4_dq[5],INOUT,,,POD12_DCI,,FAST,RDRV_40_40,RDRV_240,,EQ_LEVEL2,,,,FP_VCCO_50,,,RTT_40
67,D24,IOB_X0Y164,IO_L5P_T0U_N8_AD14P_67,100.796,101.809,,interface_ddr4_0,c0_ddr4_dq[4],INOUT,,,POD12_DCI,,FAST,RDRV_40_40,RDRV_240,,EQ_LEVEL2,,,,FP_VCCO_50,,,RTT_40
67,B25,IOB_X0Y161,IO_L3N_T0L_N5_AD15N_67,115.621,116.783,,interface_ddr4_0,c0_ddr4_dq[3],INOUT,,,POD12_DCI,,FAST,RDRV_40_40,RDRV_240,,EQ_LEVEL2,,,,FP_VCCO_50,,,RTT_40
67,B24,IOB_X0Y160,IO_L3P_T0L_N4_AD15P_67,113.934,115.079,,interface_ddr4_0,c0_ddr4_dq[2],INOUT,,,POD12_DCI,,FAST,RDRV_40_40,RDRV_240,,EQ_LEVEL2,,,,FP_VCCO_50,,,RTT_40
67,D26,IOB_X0Y159,IO_L2N_T0L_N3_67,105.630,106.691,,interface_ddr4_0,c0_ddr4_dq[1],INOUT,,,POD12_DCI,,FAST,RDRV_40_40,RDRV_240,,EQ_LEVEL2,,,,FP_VCCO_50,,,RTT_40
